LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
c $1-2 million,"LAS VEGAS ELECTRIC, INC.",3305 MEADE AVE,Las Vegas,NV,89102,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,65,05/01/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,LAS VEGAS POST ACUTE & REHABILITATION LLC,2832 S MARYLAND PKWY,LAS VEGAS,NV,89109,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,154,05/14/2020,Sunwest Bank,NV-01
c $1-2 million,"LAS VEGAS UROLOGY, LLP",7500 SMOKE RANCH RD STE 200,LAS VEGAS,NV,89128,621111,Partnership,Unanswered,Unanswered,Unanswered,,126,04/15/2020,Western Alliance Bank,NV-01
c $1-2 million,"LAS VEGAS VETERINARY REFERRAL CENTER, CRITICAL AND EMERGENCY",8650 W TROPICANA AVE STE B-107,LAS VEGAS,NV,89147,541940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/15/2020,Western Alliance Bank,NV-03
c $1-2 million,"LEGAL AID CENTER OF SOUTHERN NEVADA, INC.",725 E Charleston Blvd,LAS VEGAS,NV,89104,541110,Corporation,Unanswered,Unanswered,Unanswered,,150,04/28/2020,Western Alliance Bank,NV-01
c $1-2 million,"LINKTECH, LLC",9505 HILLWOOD DR #150,LAS VEGAS,NV,89134,518210,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,93,04/09/2020,City National Bank,NV-04
c $1-2 million,LOTUSCHUTIMA LLC,602 E Flamingo Rd,LAS VEGAS,NV,89119,722511,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,106,04/09/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,LUCKY CAB COMPANY,4195 DIABLO DR,LAS VEGAS,NV,89118,485320,Corporation,Unanswered,Male Owned,Unanswered,,180,04/15/2020,City National Bank,NV-03
c $1-2 million,"M CON, INC.",8550 W CHARLESTON BLVD STE 102-404,LAS VEGAS,NV,89117,238910,Corporation,Hispanic,Male Owned,Non-Veteran,,99,04/10/2020,City National Bank,NV-03
c $1-2 million,M R WHITSETT INC,3880 WEST ANN ROAD SUITE# 100,NORTH LAS VEGAS,NV,89031,445299,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-04
c $1-2 million,"MALCO ENTERPRISES OF NEVADA, INC.",7120 Haven Street 0.0,Las Vegas,NV,89119,532111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,117,04/15/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,"MAMMOTH UNDERGROUND, LLC",421 WEST BONANZA ROAD,LAS VEGAS,NV,89106,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,133,04/28/2020,Western Alliance Bank,NV-01
c $1-2 million,MARQUIS AURBACH COFFING PC,10001 Park Run Dr.,LAS VEGAS,NV,89145,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,61,04/14/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,MAVERICK KIRKLAND II,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,MAVERICK LAKEWOOD LLC,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,MAVERICK TUKWILA,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,MAVERICK YAKIMA,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,MB\CG LAS VEGAS LLC,3950 S LAS VEGAS BLVD,LAS VEGAS,NV,89119,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,235,04/09/2020,East West Bank,NV-01
c $1-2 million,MC CARRIER LLC,4725 S Valley View Blvd,LAS VEGAS,NV,89103,484122,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,126,04/08/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,"MCCANDLESS INTERNATIONAL TRUCKS, INC",3780 LOSEE ROAD,NORTH LAS VEGAS,NV,89030,441228,Corporation,Unanswered,Male Owned,Unanswered,,89,04/27/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,MILI PHARMACEUTICALS INC,101 CONVENTION CENTER DR STE 115,LAS VEGAS,NV,89109,621511,Corporation,Unanswered,Unanswered,Unanswered,,17,05/03/2020,"Bank of America, National Association",NV-01
c $1-2 million,MSA ENGINEERING CONSULTANTS,370 East Windmill Lane,Las Vegas,NV,89123,561312,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,82,04/13/2020,"Readycap Lending, LLC",NV-03
c $1-2 million,"MY LEFT FOOT CHILDREN'S THERAPY, LLC",2012 S. JONES BLVD,LAS VEGAS,NV,89146,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,124,04/27/2020,Western Alliance Bank,NV-01
c $1-2 million,N/A,4485 Rivera Ridge Ave.,LAS VEGAS,NV,89115,238210,Sole Proprietorship,White,Male Owned,Non-Veteran,,66,04/07/2020,Western Alliance Bank,NV-01
c $1-2 million,NACHO DADDY LLC,1027 S Main St,LAS VEGAS,NV,89101,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,468,04/15/2020,Lexicon Bank,NV-01
c $1-2 million,NATIONAL OUTSOURCING SERVICES INC,1500 E TROPICANA AVE STE 121,LAS VEGAS,NV,89119,561320,Corporation,Unanswered,Unanswered,Unanswered,,365,07/13/2020,"Bank of America, National Association",NV-01
c $1-2 million,NEVADA AUTO DEALERSHIP INVESTMENTS LLC,5050 W Sahara,LAS VEGAS,NV,89146,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,101,04/09/2020,Lexicon Bank,NV-01
c $1-2 million,"NEVADA CORPORATE HEADQUARTERS, INC.",4730 S Fort Apache Rd Suite 300,LAS VEGAS,NV,89147,541199,Corporation,White,Male Owned,Non-Veteran,,92,04/15/2020,Lexicon Bank,NV-03
c $1-2 million,"NEVADA HEART AND VASCULAR CENTER, PHYSICIANS, LLP","700 E. Silverado Ranch Blvd., Ste #170",LAS VEGAS,NV,89183,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,219,04/13/2020,Western Alliance Bank,NV-03
c $1-2 million,"NEVADA ORTHOPEDIC & SPINE CENTER, LLP",7455 WASHINGTON AVE STE 160,LAS VEGAS,NV,89128,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,168,04/15/2020,Western Alliance Bank,NV-01
c $1-2 million,NEVADA PARTNERS INC.,690 W. Lake Mead Blvd,NORTH LAS VEGAS,NV,89030,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13,04/28/2020,Bank of the West,NV-01
c $1-2 million,"NEW-COM, INC.",6600 AMELIA EARHART CT STE B,LAS VEGAS,NV,89119,532412,Corporation,Unanswered,Unanswered,Unanswered,,81,04/14/2020,Western Alliance Bank,NV-01
c $1-2 million,"NEWAGE LAKE LAS VEGAS, LLC",1610 LAKE LAS VEGAS PKWY,HENDERSON,NV,89011,721110,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,224,04/07/2020,East West Bank,NV-03
c $1-2 million,NG WASHINGTON III,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,94,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,NICHOLAS AND CO FOODSERVICE,5670 Nicco Way,North Las Vegas,NV,89115,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,05/03/2020,Celtic Bank Corporation,NV-01
c $1-2 million,NKDHC (RUDNITSKY) PLLC,2450 FIRE MESA ST SUITE 110,LAS VEGAS,NV,89128,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,61,04/09/2020,Meadows Bank,NV-01
c $1-2 million,"NMA HOLDINGS, LLC","7455 W Washington Ave, Ste 302",LAS VEGAS,NV,89128,621512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,129,04/13/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,"NORTHWEST HEALTH CAREERS, L.L.C. DBA NORTHWEST CAREER COLLEG",7398 SMOKE RANCH RD,LAS VEGAS,NV,89128,611310,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,148,05/01/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,"NOS COMMUNICATIONS, INC.","PILOT RD 250 E Pilot Rd,",LAS VEGAS,NV,89119,517919,Corporation,Unanswered,Unanswered,Unanswered,,65,08/05/2020,"Newtek Small Business Finance, Inc.",NV-01
c $1-2 million,NRT TECHNOLOGIES INC,"3525 East Post Road, Suite 120",LAS VEGAS,NV,89120,541511,Corporation,Unanswered,Unanswered,Unanswered,,98,04/27/2020,CIBC Bank USA,NV-03
c $1-2 million,"NUGENT, LLC",3005 HARBOR COVE DR,LAS VEGAS,NV,89128,812111,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,180,04/15/2020,"Bank of America, National Association",NV-01
c $1-2 million,"OFFICIA IMAGING, INC.",720 S 4TH ST,LAS VEGAS,NV,89101,532420,Corporation,Unanswered,Unanswered,Unanswered,,106,04/05/2020,Western Alliance Bank,NV-01
c $1-2 million,OLSON PRECAST COMPANY,2810 N NELLIS BLVD STE 100,LAS VEGAS,NV,89115,327390,Corporation,Unanswered,Unanswered,Unanswered,,105,04/15/2020,"Bank of America, National Association",NV-01
c $1-2 million,OMNI FINANCIAL OF NEVADA INC,6655 W Sahara Ave Ste C104,Las Vegas,NV,89146,523930,Corporation,Unanswered,Unanswered,Unanswered,,155,05/03/2020,"Bank of America, National Association",NV-01
c $1-2 million,"ON DEMAND SEDAN SERVICES, INC.",4675 WYNN RD,LAS VEGAS,NV,89103,485320,Corporation,Unanswered,Male Owned,Unanswered,,208,04/11/2020,Meadows Bank,NV-01
c $1-2 million,ONE STOP 4 FLOORING LLC,6150 WEST FLAMINGO ROAD 0.0,LAS VEGAS,NV,89103,238330,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,200,04/08/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,"ORIGIN CONSULTING, LLC","1930 Village Center Circle, Suite 3-704",LAS VEGAS,NV,89134,541512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,04/15/2020,"Zions Bank, A Division of",NV-04
c $1-2 million,PAIR O'DICE INVESTMENTS,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,PASSIVE INCOME ADVISORS,7065 West Ann Road,Las Vegas,NV,89130,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/11/2020,Greater Nevada CU,NV-04
c $1-2 million,"PBR ROCK, LLC",3663 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/10/2020,City National Bank,NV-01
c $1-2 million,"PERFORMANCE BUILDERS, INC.",4275 ARCATA WAY,NORTH LAS VEGAS,NV,89030,238310,Corporation,White,Female Owned,Non-Veteran,,86,04/11/2020,Western Alliance Bank,NV-01
c $1-2 million,PETER LIK RETAIL USA INC,6625 Badura Ave,LAS VEGAS,NV,89118,453920,Trust,Unanswered,Male Owned,Unanswered,,109,05/01/2020,"Bank of America, National Association",NV-03
c $1-2 million,"PHILCOR T.V. & ELECTRONIC LEASING, INC.",4200 Spring Mountain Rd,LAS VEGAS,NV,89102,423610,Corporation,Unanswered,Male Owned,Unanswered,,113,04/13/2020,Western Alliance Bank,NV-01
c $1-2 million,"PIERCE,ET AL, LTD",6100 Elton Ave Suite 1000,LAS VEGAS,NV,89107,541211,Corporation,White,Male Owned,Non-Veteran,,74,04/07/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,PRECISION CONCRETE,1640 W BROOKS AVE,NORTH LAS VEGAS,NV,89032,238110,Subchapter S Corporation,White,Male Owned,Unanswered,,199,04/15/2020,Valley Bank of Nevada,NV-04
c $1-2 million,"PRECISION OPINION, INC.",7251 Amigo Street Suite 100,LAS VEGAS,NV,89119,541910,Corporation,Unanswered,Unanswered,Unanswered,,,04/10/2020,First Bank of the Lake,NV-01
c $1-2 million,PRESTIGE CHRYSLER JEEP DODGE LLC,6520 CENTENNIAL CENTER BLVD,LAS VEGAS,NV,89149,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,112,04/16/2020,Comerica Bank,NV-04
c $1-2 million,PROCARE HOSPICE OF NEVADA LLC,7469 W. Lake Mead Blvd #200,LAS VEGAS,NV,89128,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,93,04/15/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,"PSSI GLOBAL SERVICES, LLC",4415 Wagon Trail Avenue,LAS VEGAS,NV,89118,517410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,90,04/05/2020,First Bank,NV-03
c $1-2 million,"PWI CONSTRUCTION, INC.",3903 MARTIN AVE,LAS VEGAS,NV,89118,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,95,04/07/2020,Frost Bank,NV-03
c $1-2 million,"R P WEDDELL & SONS, CO.",4905 CAREY AVE,LAS VEGAS,NV,89115,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,100,04/07/2020,Western Alliance Bank,NV-01
c $1-2 million,"RAFAEL CONSTRUCTION, INC",5870 Construction Ave,LAS VEGAS,NV,89122,236220,Corporation,Unanswered,Male Owned,Unanswered,,61,04/13/2020,Western Alliance Bank,NV-03
c $1-2 million,"REBEL OIL COMPANY, INC",2200 SOUTH HIGHLAND DR,LAS VEGAS,NV,89102,424720,Corporation,Unanswered,Female Owned,Non-Veteran,,103,04/14/2020,City National Bank,NV-01
c $1-2 million,RED DEER IRONWORKS USA INC,1935 Village Center Cir,LAS VEGAS,NV,89134,339999,Corporation,Unanswered,Unanswered,Unanswered,,104,04/30/2020,"Bank of America, National Association",NV-04
c $1-2 million,RED LION OPERATOR,2026 Montessouri St.,LAS VEGAS,NV,89147,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,287,04/27/2020,Lexicon Bank,NV-03
c $1-2 million,"RED ROSE, INC.",4530 N Walnut Rd,North Las Vegas,NV,89081,238160,Corporation,Unanswered,Male Owned,Non-Veteran,,111,04/14/2020,First Republic Bank,NV-04
c $1-2 million,"RELIABLE CRANE SERVICES, LLC",7582 Las Vegas Blvd. Suite 527,LAS VEGAS,NV,89123,236220,Corporation,Unanswered,Unanswered,Unanswered,,30,04/08/2020,Pacific Mercantile Bank,NV-03
c $1-2 million,"RENU OIL OF AMERICA, INC.",5435 South Valley View,LAS VEGAS,NV,89118,561210,Subchapter S Corporation,Hispanic,Female Owned,Non-Veteran,,325,04/14/2020,"Zions Bank, A Division of",NV-03
c $1-2 million,"REPUBLIC ELECTRIC, INC.",3985 N PECOS RD,LAS VEGAS,NV,89115,238210,Corporation,White,Male Owned,Non-Veteran,,127,04/15/2020,City National Bank,NV-01
c $1-2 million,RESIDENTIAL FIRE PROTECTION,6438 ARVILLE ST,LAS VEGAS,NV,89118,238220,Corporation,Unanswered,Unanswered,Unanswered,,186,04/09/2020,Bank of George,NV-03
c $1-2 million,"REST IP, LLC",2850 S JONES BLVD #2,LAS VEGAS,NV,89146,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,49,04/28/2020,Western Alliance Bank,NV-01
c $1-2 million,RIVERA FRAMERS LLC,3455 W CRAIG RD STE B,NORTH LAS VEGAS,NV,89032,238130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,150,04/30/2020,"Bank of America, National Association",NV-04
c $1-2 million,ROADRUNNER DRYWALL CORP,4025 E Post Rd,LAS VEGAS,NV,89120,238210,Corporation,Unanswered,Unanswered,Unanswered,,121,04/12/2020,"Zions Bank, A Division of",NV-03
c $1-2 million,"ROBCO ELECTRIC, INC.",5692 LA COSTA CANYON CT SUITE 105,LAS VEGAS,NV,89139,238210,Corporation,Unanswered,Unanswered,Unanswered,,128,04/08/2020,Meadows Bank,NV-03
c $1-2 million,"ROBERTS COMMUNICATIONS NETWORK, LLC",11411 Southern Highlands Pkwy Suite 180,LAS VEGAS,NV,89141,517311,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,94,04/07/2020,"Zions Bank, A Division of",NV-03
c $1-2 million,RUSSELL ROAD FOOD AND BEVERAGE LLC,3550 W QUAIL AVE,LAS VEGAS,NV,89118,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,154,04/30/2020,Customers Bank,NV-03
c $1-2 million,"S&W OF LAS VEGAS, L.L.C.",3377 LAS VEGAS BLVD The Grand Canal Shoppes at The Venetian Resort,LAS VEGAS,NV,89109,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,94,04/14/2020,Northern Bank and Trust Company,NV-01
c $1-2 million,SAMBA VEGAS LLC,3327 S. Las Vegas Blvd.,Las Vegas,NV,89109,711110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,125,04/28/2020,"HSBC Bank USA, National Association",NV-01
c $1-2 million,"SENOR FROGS LAS VEGAS, LLC",3300 Las Vegas Blvd S,Las Vegas,NV,89109,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,145,05/01/2020,Celtic Bank Corporation,NV-01
c $1-2 million,SF PARIS LLC,10845 Griffith Peak Dr Suite 520,LAS VEGAS,NV,89135,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,294,04/13/2020,Western Alliance Bank,NV-03
c $1-2 million,"SGPS, SHOWRIG, INC.",2845 COLEMAN ST,NORTH LAS VEGAS,NV,89032,238990,Corporation,Unanswered,Male Owned,Unanswered,,125,05/01/2020,"JPMorgan Chase Bank, National Association",NV-04
c $1-2 million,"SIERRA AIR CONDITIONING, INC.",4210 W PATRICK LN,LAS VEGAS,NV,89118,236115,Corporation,Unanswered,Unanswered,Unanswered,,116,04/10/2020,Western Alliance Bank,NV-03
c $1-2 million,SILVER LANDS INC.,2901 S. Highland  Bldg. 15 Suite A,Las Vegas,NV,89109,561730,Corporation,Unanswered,Unanswered,Unanswered,,187,05/03/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,SKINNYFATS WORLDWIDE LLC,6257 DEAN MARTIN DR,LAS VEGAS,NV,89118,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,173,04/27/2020,First Savings Bank,NV-03
c $1-2 million,"SKYE WIRELESS, LLC",7548 W SAHARA AVE STE 102,LAS VEGAS,NV,89117,517919,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,191,04/05/2020,Pacific Premier Bank,NV-03
c $1-2 million,SO LLC,4575 W. Post Road 0.0,Las Vegas,NV,89118,323113,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,120,04/09/2020,"JPMorgan Chase Bank, National Association",NV-03
c $1-2 million,SO. NEVADS TBA SUPPLY CO,"5720 Arville Street, Suite 115",Las Vegas,NV,89118,561312,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,160,04/13/2020,"Readycap Lending, LLC",NV-03
c $1-2 million,"SOIL-TECH, INC.",6420 S CAMERON ST,LAS VEGAS,NV,89118,238990,Corporation,Unanswered,Unanswered,Unanswered,,77,04/29/2020,Meadows Bank,NV-03
c $1-2 million,SOUTHERN NEVADA FIRE PROTECTION INC,3265 E. Patrick Lane,LAS VEGAS,NV,89120,238220,Corporation,Unanswered,Unanswered,Unanswered,,125,04/30/2020,"Bank of America, National Association",NV-03
c $1-2 million,SOUTHERN NEVADA JOINT MANAGEMENT CULINARY & BARTENDERS TRAIN,710 W Lake Mead Blvd,NORTH LAS VEGAS,NV,89030,624310,Trust,Unanswered,Unanswered,Unanswered,,145,04/08/2020,Western Alliance Bank,NV-01
c $1-2 million,SOUTWEST SPECIALTY COATINGS INC,1102 Sharp Circle,NORTH LAS VEGAS,NV,89030,238320,Corporation,Hispanic,Unanswered,Unanswered,,61,04/10/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,"SPECIAL OPERATIONS ASSOCIATES, INC. OF NEVADA",3405 CAMBRIDGE ST,LAS VEGAS,NV,89169,561612,Corporation,Unanswered,Unanswered,Unanswered,,145,05/01/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,SPECTRUM SERVICES INC,4850 W Oquendo,Las Vegas,NV,89119,517919,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,80,04/27/2020,Lexicon Bank,NV-01
c $1-2 million,SPILIADIS MANAGEMENT LTD,3708 Las Vegas Blvd South 0.0,Las Vegas,NV,89109,722511,Corporation,Unanswered,Unanswered,Unanswered,,120,04/09/2020,"JPMorgan Chase Bank, National Association",NV-01
c $1-2 million,SR CONSTRUCTION,3579 Red Rock Street,LAS VEGAS,NV,89103,236220,Corporation,White,Male Owned,Unanswered,,54,04/14/2020,Valley Bank of Nevada,NV-01
c $1-2 million,STEELHEAD PRODUCTIONS INC,4220 W Windmill Lane Ste 100,LAS VEGAS,NV,89139,238350,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,63,04/08/2020,"Zions Bank, A Division of",NV-03
c $1-2 million,STEELMAN PARTNERS LLP,3330 DESERT INN RD,LAS VEGAS,NV,89102,541310,Limited Liability Partnership,White,Male Owned,Non-Veteran,,134,04/10/2020,Pacific Premier Bank,NV-01
c $1-2 million,"STEWART & SUNDELL CONCRETE, INC.",1760 W BROOKS AVE,NORTH LAS VEGAS,NV,89032,238990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,83,04/15/2020,Western Alliance Bank,NV-04
c $1-2 million,STONESCAPE PAVERS LLC,4610 WYNN RD,LAS VEGAS,NV,89103,238990,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,155,04/08/2020,Western Alliance Bank,NV-01
c $1-2 million,SUN CITY REPLACEMENT WINDOWS LLC,5175 W DIABLO DR,LAS VEGAS,NV,89118,238150,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/14/2020,Valley Bank of Nevada,NV-03
c $1-2 million,TACOS EL GORDO DE TIJUANA BC LLC,4465 WAGON TRAIL,LAS VEGAS,NV,89118,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0,05/06/2020,"Wells Fargo Bank, National Association",NV-03
c $1-2 million,"TARGET CONSTRUCTION, INC.",2035 WINDMILL LN,LAS VEGAS,NV,89123,237210,Corporation,Unanswered,Unanswered,Unanswered,,45,04/07/2020,Western Alliance Bank,NV-03
c $1-2 million,THE ANIMAL FOUNDATION,655 North MOJAVE RD,LAS VEGAS,NV,89101,812910,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,179,04/07/2020,City National Bank,NV-01
c $1-2 million,THE FREMONT STREET EXPERIENCE LIMITED LIABILITY COMPANY,425 FREMONT ST STE 250,LAS VEGAS,NV,89101,711310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,71,04/11/2020,Western Alliance Bank,NV-01
c $1-2 million,"THE INFLUENTIAL NETWORK, INC.",823 SOUTH LAS VEGAS BLVD.,LAS VEGAS,NV,89101,541613,Corporation,Unanswered,Unanswered,Unanswered,,82,04/14/2020,Pacific Western Bank,NV-01
c $1-2 million,"THE ORIGINAL ROOFING COMPANY, LLC",4515 COPPER SAGE ST Ste. 100,LAS VEGAS,NV,89115,238160,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,114,04/07/2020,Meadows Bank,NV-01
c $1-2 million,THE SUNSTONE GROUP,4144 West Sunset Road 0.0,Las Vegas,NV,89118,423730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,118,04/09/2020,"JPMorgan Chase Bank, National Association",NV-03
c $1-2 million,"THOMAS ENTERPRISES MANAGEMENT, INC.",4475 W WAGON TRAIL AVE,LAS VEGAS,NV,89118,722513,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,402,04/10/2020,Meadows Bank,NV-03
c $1-2 million,"THORNDAL, ARMSTRONG, DELK, BALKENBUSH & EISINGER, A PROFESSI",1100 E. Bridger Avenue,LAS VEGAS,NV,89101,541110,Corporation,Unanswered,Unanswered,Unanswered,,60,04/15/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,THREE SQUARE,4190 N. PECOS RD.,LAS VEGAS,NV,89115,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
c $1-2 million,"TICI, LLC","3291 E Warm Springs Rd, Ste 400",LAS VEGAS,NV,89120,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,270,04/14/2020,"Zions Bank, A Division of",NV-03
c $1-2 million,TIMBERS HOSPITALITY GROUP INC.,6430 ARVILLE ST,LAS VEGAS,NV,89118,722410,Corporation,White,Male Owned,Non-Veteran,,195,04/29/2020,Western Alliance Bank,NV-03
c $1-2 million,"TORI CONTRACTING, LLC",3575 W Post Road,LAS VEGAS,NV,89118,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55,04/08/2020,Cache Valley Bank,NV-03
c $1-2 million,"TORREY PINES REHABILITATION HOSPITAL, LLC",1701 S TORREY PINES DR,LAS VEGAS,NV,89146,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,156,05/14/2020,Sunwest Bank,NV-01
c $1-2 million,"TOWER ENGINEERING SOLUTIONS, LLC",3281 S. HIGHLAND DR,LAS VEGAS,NV,89109,541330,Corporation,Unanswered,Unanswered,Unanswered,,77,04/28/2020,County National Bank,NV-01
c $1-2 million,TRADEWINDS BUILDING AND DEVELOPMENT INC.,1714 BONANZA RD,LAS VEGAS,NV,89106,236210,Subchapter S Corporation,White,Male Owned,Unanswered,,94,04/14/2020,Valley Bank of Nevada,NV-01
c $1-2 million,TUSCANY SUITES LLC,255 EAST FLAMINGO RD,LAS VEGAS,NV,89169,721120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,311,04/29/2020,Meadows Bank,NV-01
c $1-2 million,"TWI GROUP, INC.",4480 S Pecos Rd,LAS VEGAS,NV,89121,488510,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,88,04/10/2020,"Zions Bank, A Division of",NV-01
c $1-2 million,UNFORGETTABLE COATINGS INC.,"10785 W. TWAIN AVE, STE 102",LAS VEGAS,NV,89135,238320,Corporation,Unanswered,Male Owned,Non-Veteran,,132,04/29/2020,Meadows Bank,NV-03
c $1-2 million,"UNION ERECTOR, LLC",6625 W Gary Ave,LAS VEGAS,NV,89139,238120,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,83,04/06/2020,GenuBank,NV-03
c $1-2 million,UNITED COIN MACHINE COMPANY,600 PILOT RD ste e,LAS VEGAS,NV,89119,713290,Corporation,White,Male Owned,Unanswered,,137,04/27/2020,Stockman Bank of Montana,NV-01
c $1-2 million,UNITED FACTORY FURNITURE CORPORATION,301 S MARTIN L KING BLVD,LAS VEGAS,NV,89106,442110,Corporation,Unanswered,Unanswered,Unanswered,,198,04/15/2020,Western Alliance Bank,NV-01
